variation, 2N, foo, 2N - foo, time (seconds)

# wrong versions:
dekker,20000000,19921869,78131,5.700237
dekker,20000000,19928843,71157,7.376973
dekker,20000000,19999970,30,8.523636
dekker_lfence,20000000,19931225,68775,6.328366
dekker_lfence,20000000,19996346,3654,7.871688
dekker_lfence,20000000,19999405,595,8.297626
dekker_lfence_wiki,20000000,15987257,4012743,7.353639
dekker_lfence_wiki,20000000,19978349,21651,6.794361
dekker_lfence_wiki,20000000,19994361,5639,6.832956
dekker_sched,20000000,19905102,94898,5.490554
dekker_sched,20000000,19909646,90354,5.865321
dekker_sched,20000000,19910788,89212,6.297221
dekker_sched_wiki,20000000,17242799,2757201,6.097590
dekker_sched_wiki,20000000,18953879,1046121,7.163586
dekker_sched_wiki,20000000,19285925,714075,7.103277
dekker_wiki,20000000,19416630,583370,7.229896
dekker_wiki,20000000,19997413,2587,6.881775
dekker_wiki,20000000,19998768,1232,6.965812

# sometimes right:)
dekker_sfence_wiki,20000000,19999993,7,9.946434
dekker_sfence_wiki,20000000,20000000,0,11.262859
dekker_sfence_wiki,20000000,20000000,0,13.629546

# functioning versions:
dekker_atomic,20000000,20000000,0,0.890337
dekker_atomic,20000000,20000000,0,0.897887
dekker_atomic,20000000,20000000,0,1.253962
dekker_mfence,20000000,20000000,0,6.356019
dekker_mfence,20000000,20000000,0,8.797910
dekker_mfence,20000000,20000000,0,8.805400
dekker_mfence_wiki,20000000,20000000,0,10.141930
dekker_mfence_wiki,20000000,20000000,0,10.277722
dekker_mfence_wiki,20000000,20000000,0,10.436396
dekker_serial_atomic,20000000,20000000,0,0.404569
dekker_serial_atomic,20000000,20000000,0,0.404901
dekker_serial_atomic,20000000,20000000,0,0.407254
dekker_serial_nolock,20000000,20000000,0,0.134587
dekker_serial_nolock,20000000,20000000,0,0.134681
dekker_serial_nolock,20000000,20000000,0,0.134770
dekker_sfence,20000000,20000000,0,6.735914
dekker_sfence,20000000,20000000,0,8.912151
dekker_sfence,20000000,20000000,0,8.984422
dekker_xchg,20000000,20000000,0,2.157499
dekker_xchg,20000000,20000000,0,2.199061
dekker_xchg,20000000,20000000,0,2.241428
